Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Halo: Reach,X360,2010,7030000.0,1980000.0,80000.0,780000.0
Mario Kart 64,N64,1996,5550000.0,1940000.0,2230000.0,150000.0
New Super Mario Bros. 2,3DS,2012,3660000.0,3070000.0,2470000.0,630000.0
Halo 4,X360,2012,6630000.0,2360000.0,40000.0,730000.0
Final Fantasy VII,PS,1997,3010000.0,2470000.0,3280000.0,960000.0
Call of Duty: Ghosts,PS3,2013,4090000.0,3730000.0,380000.0,1380000.0
Just Dance 2,Wii,2010,5840000.0,2890000.0,10000.0,780000.0
Gran Turismo 2,PS,1999,3880000.0,3420000.0,1690000.0,500000.0
Call of Duty 4: Modern Warfare,X360,2007,5910000.0,2380000.0,130000.0,900000.0
Donkey Kong Country,SNES,1994,4360000.0,1710000.0,3000000.0,230000.0
Minecraft,X360,2013,5580000.0,2830000.0,20000.0,770000.0
Animal Crossing: New Leaf,3DS,2012,2009999.9999999998,2320000.0,4360000.0,410000.0
The Elder Scrolls V: Skyrim,X360,2011,5030000.0,2860000.0,100000.0,850000.0
Super Mario Kart,SNES,1992,3540000.0,1240000.0,3810000.0,180000.0
FIFA 16,PS4,2015,1110000.0,6060000.0,60000.0,1260000.0
Wii Party,Wii,2010,1790000.0,3530000.0,2490000.0,680000.0
Halo 2,XB,2004,6820000.0,1530000.0,50000.0,80000.0
Mario Party 8,Wii,2007,3810000.0,2300000.0,1580000.0,730000.0
FIFA Soccer 13,PS3,2012,1060000.0,5050000.0,130000.0,2009999.9999999998
The Sims 3,PC,2009,980000.0,6420000.0,0.0,710000.0
GoldenEye 007,N64,1997,5800000.0,2009999.9999999998,130000.0,150000.0
Mario & Sonic at the Olympic Games,Wii,2007,2580000.0,3900000.0,660000.0,910000.0
Final Fantasy X,PS2,2001,2910000.0,2069999.9999999998,2730000.0,330000.0
Final Fantasy VIII,PS,1999,2280000.0,1720000.0,3630000.0,230000.0
Pac-Man,2600,1982,7280000.0,450000.0,0.0,80000.0
Grand Theft Auto: Liberty City Stories,PSP,2005,2900000.0,2830000.0,240000.0,1750000.0
Super Mario Galaxy 2,Wii,2010,3660000.0,2420000.0,980000.0,640000.0
Star Wars Battlefront (2015),PS4,2015,2930000.0,3290000.0,220000.0,1230000.0
Call of Duty: Advanced Warfare,PS4,2014,2800000.0,3300000.0,140000.0,1370000.0
The Legend of Zelda: Ocarina of Time,N64,1998,4099999.9999999995,1890000.0,1450000.0,160000.0
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,3780000.0,2170000.0,1310000.0,310000.0
Super Mario Bros. 2,NES,1988,5390000.0,1180000.0,700000.0,190000.0
Super Smash Bros. for Wii U and 3DS,3DS,2014,3240000.0,1350000.0,2420000.0,430000.0
Call of Duty: World at War,X360,2008,4790000.0,1900000.0,0.0,690000.0
Battlefield 3,X360,2011,4460000.0,2130000.0,60000.0,690000.0
The Legend of Zelda: Twilight Princess,Wii,2006,3830000.0,2190000.0,600000.0,700000.0
Call of Duty: Black Ops 3,XOne,2015,4520000.0,2089999.9999999998,10000.0,670000.0
Just Dance,Wii,2009,3510000.0,3030000.0,0.0,730000.0
Battlefield 3,PS3,2011,2850000.0,2930000.0,350000.0,1100000.0
Need for Speed Underground,PS2,2003,3270000.0,2830000.0,80000.0,1020000.0
Tekken 3,PS,1998,3270000.0,2220000.0,1400000.0,290000.0
Crash Bandicoot 3: Warped,PS,1998,3680000.0,1750000.0,1420000.0,280000.0
Super Smash Bros. Melee,GC,2001,4410000.0,1040000.0,1390000.0,220000.0
Mario Kart 8,WiiU,2014,3130000.0,2069999.9999999998,1270000.0,490000.0
Fallout 4,PS4,2015,2470000.0,3150000.0,240000.0,1100000.0
Mario Kart: Double Dash!!,GC,2003,4120000.0,1770000.0,870000.0,190000.0
Just Dance 4,Wii,2012,4139999.9999999995,2210000.0,0.0,560000.0
FIFA 14,PS3,2013,780000.0,4320000.0,70000.0,1730000.0
Need for Speed Underground 2,PS2,2004,2710000.0,3020000.0,80000.0,1090000.0
Medal of Honor: Frontline,PS2,2002,2930000.0,2750000.0,170000.0,990000.0
Uncharted 3: Drake's Deception,PS3,2011,2770000.0,2800000.0,190000.0,1060000.0
Crash Bandicoot,PS,1996,3230000.0,2350000.0,940000.0,300000.0
Zumba Fitness,Wii,2010,3500000.0,2640000.0,0.0,670000.0
Gears of War 2,X360,2008,4150000.0000000005,1920000.0,60000.0,640000.0
Uncharted 2: Among Thieves,PS3,2009,3270000.0,2250000.0,210000.0,1000000.0
Call of Duty 4: Modern Warfare,PS3,2007,3100000.0,2300000.0,280000.0,1040000.0
FIFA 12,PS3,2011,840000.0,4320000.0,110000.0,1420000.0
Red Dead Redemption,PS3,2010,2790000.0,2610000.0,170000.0,1030000.0
FIFA 15,PS4,2014,790000.0,4290000.0,50000.0,1470000.0
Donkey Kong Country Returns,Wii,2010,3250000.0,1840000.0,1030000.0,470000.0
The Elder Scrolls V: Skyrim,PS3,2011,2550000.0,2710000.0,250000.0,1050000.0
The Legend of Zelda,NES,1986,3740000.0,930000.0,1690000.0,140000.0
Assassin's Creed III,PS3,2012,2640000.0,2560000.0,160000.0,1140000.0
Halo: Combat Evolved,XB,2001,4980000.0,1300000.0,80000.0,70000.0
Pok?mon Emerald Version,GBA,2004,2570000.0,1580000.0,2060000.0,210000.0
Kingdom Hearts,PS2,2002,3640000.0,1200000.0,1490000.0,70000.0
Pok?mon Crystal Version,GB,2000,2550000.0,1560000.0,1290000.0,990000.0
Halo 3: ODST,X360,2009,4340000.0,1350000.0,60000.0,610000.0
Red Dead Redemption,X360,2010,3700000.0,1970000.0,90000.0,570000.0
Super Mario Sunshine,GC,2002,4010000.0,1260000.0,870000.0,170000.0
Street Fighter II: The World Warrior,SNES,1992,2470000.0,830000.0,2870000.0,120000.0
World of Warcraft,PC,2004,70000.0,6210000.0,0.0,0.0
Driver,PS,1999,3110000.0,2800000.0,20000.0,330000.0
Kinect Sports,X360,2010,3920000.0,1780000.0,30000.0,510000.0
Gears of War 3,X360,2011,4050000.0,1620000.0,70000.0,490000.0
Gears of War,X360,2006,3540000.0,1900000.0,70000.0,600000.0
Metal Gear Solid 2: Sons of Liberty,PS2,2001,2450000.0,2009999.9999999998,870000.0,720000.0
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,2630000.0,1740000.0,830000.0,830000.0
Metal Gear Solid,PS,1998,3180000.0,1830000.0,780000.0,240000.0
The Last of Us,PS3,2013,2410000.0,2280000.0,280000.0,1010000.0
Final Fantasy XII,PS2,2006,1880000.0,0.0,2330000.0,1740000.0
LittleBigPlanet,PS3,2008,2800000.0,2049999.9999999998,170000.0,900000.0
LEGO Star Wars: The Complete Saga,Wii,2007,3660000.0,1630000.0,0.0,530000.0
Resident Evil 2,PS,1998,1880000.0,1470000.0,2020000.0,450000.0
Tekken 2,PS,1996,2260000.0,1890000.0,1360000.0,230000.0
Destiny,PS4,2014,2490000.0,2049999.9999999998,160000.0,960000.0
Tetris,NES,1988,2970000.0,690000.0,1810000.0,110000.0
Assassin's Creed II,PS3,2009,2540000.0,1950000.0,210000.0,870000.0
Super Smash Bros.,N64,1999,2950000.0,600000.0,1970000.0,40000.0
Assassin's Creed,X360,2007,3280000.0,1650000.0,70000.0,550000.0
Batman: Arkham City,PS3,2011,2700000.0,1910000.0,110000.0,800000.0
Forza Motorsport 3,X360,2009,2990000.0,1920000.0,100000.0,510000.0
Monster Hunter Freedom Unite,PSP,2008,470000.0,570000.0,4130000.0,340000.0
Super Mario Advance,GBA,2001,3140000.0,1240000.0,910000.0,200000.0
Mario Kart: Super Circuit,GBA,2001,2620000.0,1640000.0,990000.0,230000.0
Super Mario World,GBA,2001,3210000.0,1110000.0,950000.0,200000.0
Pokemon Stadium,N64,1999,3180000.0,1240000.0,940000.0,90000.0
Call of Duty: World at War,PS3,2008,2720000.0,1870000.0,0.0,840000.0
Crash Bandicoot: The Wrath of Cortex,PS2,2001,2069999.9999999998,2290000.0,240000.0,820000.0
Minecraft,PS3,2014,1970000.0,2510000.0,0.0,940000.0
Final Fantasy XIII,PS3,2009,1740000.0,1240000.0,1870000.0,520000.0
Dr. Mario,GB,1989,2180000.0,960000.0,2000000.0,200000.0
Pokemon Pinball,GB,1999,3020000.0,1120000.0,1010000.0,160000.0
Assassin's Creed III,X360,2012,3130000.0,1710000.0,30000.0,440000.0
Final Fantasy IX,PS,2000,1620000.0,770000.0,2780000.0,140000.0
Final Fantasy X-2,PS2,2003,1920000.0,1080000.0,2110000.0,170000.0
Donkey Kong 64,N64,1999,3330000.0,790000.0,1090000.0,60000.0
Assassin's Creed II,X360,2009,3100000.0,1560000.0,80000.0,510000.0
Tomb Raider II,PS,1997,2300000.0,2460000.0,200000.0,280000.0
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,650000.0,750000.0,3610000.0,200000.0
Diablo III,PC,2012,2430000.0,2150000.0,0.0,620000.0
Super Mario Bros. 3,GBA,2003,2930000.0,1250000.0,830000.0,200000.0
New Super Mario Bros. U,WiiU,2012,2320000.0,1300000.0,1270000.0,310000.0
Super Mario Land 3: Wario Land,GB,1994,2490000.0,980000.0,1570000.0,150000.0
FIFA Soccer 13,X360,2012,1080000.0,3480000.0,30000.0,580000.0
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,2100000.0,740000.0,2200000.0,110000.0
Tomodachi Life,3DS,2013,960000.0,2020000.0,1890000.0,280000.0
Medal of Honor: Rising Sun,PS2,2003,1980000.0,2230000.0,130000.0,800000.0
Kirby's Dream Land,GB,1992,2710000.0,610000.0,1700000.0,110000.0
Fable III,X360,2010,3590000.0,1110000.0,50000.0,380000.0
Call of Duty: Advanced Warfare,XOne,2014,3210000.0,1530000.0,10000.0,380000.0
Microsoft Flight Simulator,PC,1996,3220000.0,1690000.0,0.0,200000.0
Guitar Hero II,PS2,2006,3810000.0,630000.0,0.0,680000.0
Resident Evil 5,PS3,2009,1960000.0,1430000.0,1080000.0,650000.0
Grand Theft Auto V,XOne,2014,2660000.0,2009999.9999999998,0.0,410000.0
Grand Theft Auto: Vice City Stories,PSP,2006,1700000.0,2020000.0,160000.0,1210000.0
FIFA Soccer 11,PS3,2010,600000.0,3290000.0,60000.0,1130000.0
Super Mario Bros.,GB,1999,3400000.0,1300000.0,150000.0,220000.0
Resident Evil,PS,1996,2049999.9999999998,1160000.0,1110000.0,730000.0
Tony Hawk's Pro Skater,PS,1999,3420000.0,1380000.0,20000.0,200000.0
Super Smash Bros. for Wii U and 3DS,WiiU,2014,2590000.0,1060000.0,800000.0,570000.0
Warzone 2100,PS,1999,2790000.0,1890000.0,0.0,330000.0
Spyro the Dragon,PS,1998,3360000.0,1360000.0,70000.0,210000.0
Link's Crossbow Training,Wii,2007,3060000.0,1180000.0,290000.0,460000.0
Guitar Hero III: Legends of Rock,PS2,2007,3490000.0,10000.0,10000.0,1480000.0
Fallout 3,X360,2008,3390000.0,1030000.0,90000.0,440000.0
Uncharted: Drake's Fortune,PS3,2007,2310000.0,1730000.0,120000.0,780000.0
Madden NFL 06,PS2,2005,3980000.0,260000.0,10000.0,660000.0
Diddy Kong Racing,N64,1997,2910000.0,990000.0,890000.0,100000.0
Monster Hunter Freedom 3,PSP,2010,0.0,0.0,4870000.0,0.0
Dr. Mario,NES,1990,2620000.0,600000.0,1520000.0,100000.0
God of War III,PS3,2010,2740000.0,1360000.0,120000.0,630000.0
StarCraft II: Wings of Liberty,PC,2010,2560000.0,1680000.0,0.0,590000.0
Assassin's Creed,PS3,2007,1910000.0,2000000.0,90000.0,830000.0
FIFA 15,PS3,2014,570000.0,3140000.0,40000.0,1070000.0
Crash Team Racing,PS,1999,2570000.0,1570000.0,440000.0,210000.0
FIFA 17,PS4,2016,280000.0,3750000.0,60000.0,690000.0
Batman: Arkham City,X360,2011,2990000.0,1310000.0,40000.0,410000.0
Driver 2,PS,2000,2360000.0,2100000.0,20000.0,250000.0
The Simpsons: Hit & Run,PS2,2003,1730000.0,2190000.0,0.0,790000.0
Tony Hawk's Pro Skater 2,PS,2000,3050000.0,1410000.0,20000.0,200000.0
Animal Crossing: City Folk,Wii,2008,1870000.0,1120000.0,1320000.0,370000.0
The Lord of the Rings: The Two Towers,PS2,2002,1940000.0,1950000.0,80000.0,700000.0
Forza Motorsport 4,X360,2011,2080000.0,2040000.0,60000.0,470000.0
Tomb Raider,PS,1996,2290000.0,1970000.0,130000.0,240000.0
Guitar Hero III: Legends of Rock,Wii,2007,3060000.0,1120000.0,0.0,440000.0
The Legend of Zelda: A Link to the Past,SNES,1991,2420000.0,910000.0,1150000.0,130000.0
The Legend of Zelda: The Wind Waker,GC,2002,2600000.0,990000.0,890000.0,130000.0
Mario & Sonic at the Olympic Winter Games,Wii,2009,1890000.0,1990000.0,220000.0,480000.0
Luigi's Mansion: Dark Moon,3DS,2013,1780000.0,1390000.0,1100000.0,300000.0
Splatoon,WiiU,2015,1550000.0,1150000.0,1440000.0,430000.0
The Last of Us,PS4,2014,1780000.0,1870000.0,70000.0,820000.0
Guitar Hero III: Legends of Rock,X360,2007,3190000.0,920000.0,10000.0,420000.0
Madden NFL 2005,PS2,2004,4179999.9999999995,260000.0,10000.0,80000.0
Pitfall!,2600,1981,4210000.0,240000.0,0.0,50000.0
Madden NFL 07,PS2,2006,3630000.0,240000.0,10000.0,610000.0
Spider-Man: The Movie,PS2,2002,2710000.0,1510000.0,30000.0,230000.0
Dragon Quest VII: Warriors of Eden,PS,2000,200000.0,140000.0,4099999.9999999995,20000.0
Uncharted: The Nathan Drake Collection,PS4,2015,1960000.0,1690000.0,80000.0,740000.0
Call of Duty: Advanced Warfare,PS3,2014,1540000.0,1940000.0,190000.0,770000.0
God of War,PS2,2005,2710000.0,1290000.0,20000.0,430000.0
Nintendo Land,WiiU,2012,2550000.0,1110000.0,460000.0,330000.0
Michael Jackson: The Experience,Wii,2010,2670000.0,1350000.0,10000.0,390000.0
Tony Hawk's Pro Skater 3,PS2,2001,2660000.0,1290000.0,10000.0,460000.0
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,100000.0,2390000.0,1050000.0,860000.0
The Elder Scrolls IV: Oblivion,X360,2006,2820000.0,1050000.0,130000.0,400000.0
Zelda II: The Adventure of Link,NES,1987,2190000.0,500000.0,1610000.0,80000.0
Need for Speed: Most Wanted,PS2,2005,2029999.9999999998,1790000.0,80000.0,470000.0
Resistance: Fall of Man,PS3,2006,1730000.0,1730000.0,140000.0,750000.0
Kingdom Hearts II,PS2,2005,2200000.0,580000.0,1380000.0,170000.0
FIFA 14,X360,2013,920000.0,2930000.0,10000.0,460000.0
Call of Duty: Advanced Warfare,X360,2014,2750000.0,1180000.0,0.0,370000.0
Asteroids,2600,1980,4000000.0,260000.0,0.0,50000.0
Fable II,X360,2008,2510000.0,1270000.0,110000.0,410000.0
Halo 5: Guardians,XOne,2015,2640000.0,1200000.0,30000.0,390000.0
Super Mario 3D World,WiiU,2013,2110000.0,1110000.0,720000.0,300000.0
Batman: Arkham Asylum,PS3,2009,2230000.0,1340000.0,70000.0,610000.0
Assassin's Creed: Revelations,PS3,2011,1410000.0,2020000.0,100000.0,720000.0
Namco Museum,GBA,2001,3000000.0,1110000.0,50000.0,70000.0
Metal Gear Solid 3: Snake Eater,PS2,2004,1460000.0,0.0,830000.0,1930000.0
Daxter,PSP,2006,2450000.0,1020000.0,0.0,750000.0
Warcraft II: Tides of Darkness,PC,1995,1700000.0,2270000.0,0.0,230000.0
The Legend of Zelda: Ocarina of Time,3DS,2011,2029999.9999999998,1270000.0,620000.0,300000.0
FIFA Soccer 06,PS2,2005,780000.0,2550000.0,40000.0,840000.0
EyeToy Play,PS2,2003,880000.0,2300000.0,200000.0,830000.0
Uncharted 4: A Thief's End,PS4,2016,1300000.0,2069999.9999999998,180000.0,650000.0
Gran Turismo 5 Prologue,PS3,2007,1280000.0,1830000.0,570000.0,530000.0
Assassin's Creed: Revelations,X360,2011,2250000.0,1470000.0,40000.0,430000.0
Street Fighter IV,PS3,2009,2020000.0,1060000.0,580000.0,530000.0
FIFA 12,X360,2011,840000.0,2790000.0,20000.0,530000.0
Teenage Mutant Ninja Turtles,NES,1989,3380000.0,440000.0,310000.0,40000.0
Excitebike,NES,1984,2040000.0,480000.0,1570000.0,70000.0
Frogger,PS,1997,3790000.0,270000.0,0.0,110000.0
Madden NFL 2003,PS2,2002,3360000.0,210000.0,10000.0,560000.0
Watch Dogs,PS4,2014,1400000.0,1860000.0,110000.0,770000.0
Half-Life,PC,1997,4030000.0000000005,0.0,90000.0,0.0
Super Mario World 2: Yoshi's Island,SNES,1995,1650000.0,610000.0,1760000.0,90000.0
FIFA Soccer 07,PS2,2006,710000.0,2480000.0,30000.0,890000.0
The Legend of Zelda: Skyward Sword,Wii,2011,2140000.0,1200000.0,370000.0,400000.0
Street Fighter II Turbo,SNES,1992,1420000.0,510000.0,2100000.0,70000.0
Carnival Games,Wii,2007,2130000.0,1500000.0,50000.0,420000.0
Fallout 4,XOne,2015,2450000.0,1260000.0,10000.0,370000.0
World of Warcraft: The Burning Crusade,PC,2007,2570000.0,1520000.0,0.0,0.0
Fallout: New Vegas,X360,2010,2650000.0,1060000.0,40000.0,330000.0
God of War II,PS2,2007,2320000.0,40000.0,40000.0,1670000.0
Forza Motorsport 2,X360,2007,2350000.0,1280000.0,30000.0,410000.0
World Soccer Winning Eleven 9,PS2,2005,120000.0,2260000.0,900000.0,770000.0
Namco Museum Vol.3,PS,1996,2280000.0,1550000.0,160000.0,60000.0
Tekken Tag Tournament,PS2,2000,1680000.0,1510000.0,510000.0,350000.0
Far Cry 4,PS4,2014,1120000.0,2120000.0,100000.0,690000.0
Star Fox 64,N64,1997,2780000.0,580000.0,640000.0,40000.0
Minecraft,PS4,2014,1380000.0,1870000.0,120000.0,650000.0
Golf,NES,1984,1220000.0,280000.0,2460000.0,40000.0
Fallout 3,PS3,2008,2150000.0,1200000.0,70000.0,590000.0
Left 4 Dead 2,X360,2009,2670000.0,890000.0,50000.0,370000.0
Namco Museum: 50th Anniversary,PS2,2005,2080000.0,1350000.0,0.0,540000.0
EA Sports Active,Wii,2009,2100000.0,1360000.0,60000.0,400000.0
Assassin's Creed: Unity,PS4,2014,1180000.0,1960000.0,80000.0,700000.0
Donkey Kong Land,GB,1994,1970000.0,760000.0,1070000.0,110000.0
Tony Hawk's Underground,PS2,2003,2290000.0,1170000.0,10000.0,420000.0
Assassin's Creed IV: Black Flag,PS3,2013,1330000.0,1710000.0,130000.0,730000.0
Monster Hunter 4 Ultimate,3DS,2014,670000.0,490000.0,2620000.0,110000.0
MotorStorm,PS3,2006,1530000.0,1610000.0,60000.0,670000.0
The Elder Scrolls V: Skyrim,PC,2011,1150000.0,2089999.9999999998,0.0,640000.0
Tekken 5,PS2,2005,930000.0,1940000.0,310000.0,700000.0
Dragon Warrior III,NES,1988,100000.0,0.0,3770000.0,0.0
Sports Champions,PS3,2010,2120000.0,1140000.0,100000.0,510000.0
NBA 2K16,PS4,2015,2480000.0,650000.0,30000.0,690000.0
World Soccer Winning Eleven 8 International,PS2,2004,160000.0,1890000.0,1120000.0,680000.0
Namco Museum Vol.1,PS,1995,2120000.0,1440000.0,220000.0,60000.0
The Legend of Zelda: Link's Awakening,GB,1992,2210000.0,960000.0,540000.0,130000.0
Big Brain Academy: Wii Degree,Wii,2007,1060000.0,1930000.0,410000.0,430000.0
Nintendogs + cats,3DS,2011,1440000.0,1370000.0,730000.0,270000.0
Batman: Arkham Knight,PS4,2015,1490000.0,1580000.0,100000.0,610000.0
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,1140000.0,1910000.0,270000.0,460000.0
LEGO Indiana Jones: The Original Adventures,X360,2008,2400000.0,1030000.0,0.0,360000.0
Resident Evil Director's Cut,PS,1996,1820000.0,1240000.0,470000.0,250000.0
Ratchet & Clank: Size Matters,PSP,2007,1400000.0,1400000.0,100000.0,870000.0
Just Dance 2014,Wii,2013,1980000.0,1470000.0,0.0,320000.0
The Sims: Unleashed,PC,2002,2029999.9999999998,1560000.0,0.0,170000.0
Super Paper Mario,Wii,2007,1980000.0,880000.0,590000.0,320000.0
Harry Potter and the Sorcerer's Stone,PS,2001,1370000.0,2000000.0,140000.0,220000.0
The Witcher 3: Wild Hunt,PS4,2015,960000.0,2000000.0,210000.0,560000.0
Resident Evil 3: Nemesis,PS,1999,1300000.0,770000.0,1540000.0,110000.0
Spyro: Year of the Dragon,PS,2000,1930000.0,1580000.0,0.0,190000.0
FIFA Soccer 2005,PS2,2004,580000.0,2480000.0,40000.0,590000.0
Pok?mon Trading Card Game,GB,1998,1490000.0,730000.0,1380000.0,100000.0
Battlefield 4,PS3,2013,1300000.0,1510000.0,270000.0,610000.0
Tony Hawk's Pro Skater 4,PS2,2002,2130000.0,1180000.0,10000.0,350000.0
Midnight Club 3: DUB Edition,PSP,2005,1650000.0,1220000.0,0.0,790000.0
Banjo-Kazooie,N64,1998,1870000.0,1130000.0,550000.0,100000.0
SOCOM: U.S. Navy SEALs,PS2,2002,2530000.0,810000.0,60000.0,240000.0
Guitar Hero: World Tour,Wii,2008,2330000.0,970000.0,0.0,350000.0
Gran Turismo 6,PS3,2013,710000.0,1800000.0,400000.0,740000.0
Jak and Daxter: The Precursor Legacy,PS2,2001,2080000.0,1090000.0,150000.0,330000.0
Pokemon Snap,N64,1999,2230000.0,680000.0,660000.0,60000.0
FIFA Soccer 10,PS3,2009,600000.0,2460000.0,50000.0,520000.0
Pro Evolution Soccer 2008,PS2,2007,50000.0,0.0,640000.0,2930000.0
Call of Duty: Ghosts,PS4,2013,1780000.0,1420000.0,50000.0,380000.0
Resident Evil 4,PS2,2005,2080000.0,830000.0,460000.0,250000.0
Tom Clancy's The Division,PS4,2016,1280000.0,1610000.0,150000.0,570000.0
Star Wars: Battlefront,PS2,2004,1930000.0,1220000.0,30000.0,440000.0
Doom II: Hell on Earth,PC,1994,2049999.9999999998,1400000.0,0.0,160000.0
The Simpsons: Road Rage,PS2,2001,2020000.0,1170000.0,0.0,420000.0
Luigi's Mansion,GC,2001,2380000.0,670000.0,460000.0,100000.0
Star Wars: Battlefront II,PS2,2005,2180000.0,1020000.0,30000.0,370000.0
WWF SmackDown!,PS,2000,2009999.9999999998,1350000.0,60000.0,160000.0
Croc: Legend of the Gobbos,PS,1997,1570000.0,1790000.0,0.0,200000.0
Grand Theft Auto: Liberty City Stories,PS2,2006,1560000.0,1400000.0,70000.0,500000.0
The Getaway,PS2,2002,1230000.0,1770000.0,50000.0,490000.0
Tomb Raider III: Adventures of Lara Croft,PS,1997,1660000.0,1580000.0,120000.0,180000.0
James Bond 007: Agent Under Fire,PS2,2001,1900000.0,1130000.0,100000.0,410000.0
LEGO Star Wars: The Video Game,PS2,2005,1980000.0,1140000.0,10000.0,410000.0
Battlefield 4,X360,2013,2140000.0,1080000.0,20000.0,290000.0
FIFA Soccer 11,X360,2010,710000.0,2400000.0,20000.0,400000.0
Rugrats in Paris: The Movie,PS,2000,1960000.0,1330000.0,0.0,230000.0
Spyro 2: Ripto's Rage!,PS,1999,2140000.0,1210000.0,10000.0,170000.0
Left 4 Dead,X360,2008,2660000.0,500000.0,50000.0,300000.0
Resident Evil 5,X360,2009,2110000.0,940000.0,120000.0,340000.0
